,Time,User,Tweet
0,2022-11-04 21:53:37+00:00,charliesbot,Nunca me habÃ­a divertido tanto en un hackathon â¤ï¸
1,2022-11-04 21:48:50+00:00,platzi,"Este es uno de los cursos que mÃ¡s nos pedÃ­an las empresas y hoy es una realidadğŸ’ªğŸ½

Crear buenas experiencias de serâ€¦ https://t.co/Hs5zJ4Rcc0"
2,2022-11-04 21:45:52+00:00,github,"RT @githubuniverse: What's the best part about Universe being back in-person?

Get your tickets now, we'll see you there! ğŸ‘‰ https://t.co/rvâ€¦"
3,2022-11-04 21:37:02+00:00,silvercorp,Crear imÃ¡genes con IA ya es posible en Photoshop: asÃ­ puedes usar DALL-E 2 y Stable Diffusion para generar o compleâ€¦ https://t.co/V776G6CntW
4,2022-11-04 21:35:05+00:00,nodejs,"âš ï¸ New security releases are now available for versions v14, v16, v18, and v19 of Node.js! 

More details here: https://t.co/oP03QB8q96"
5,2022-11-04 21:34:05+00:00,codigofacilito,"Ãšltimos dÃ­as para ademÃ¡s de tener la promo Black Friday (1 aÃ±o Premium por $49 USD!), llevarte un mes de ğŸ premiumâ€¦ https://t.co/Sx0M492B2I"
6,2022-11-04 21:24:01+00:00,code,ğŸˆ Release Party v1.73 ğŸˆ It's time to talk about the October release! Join us on Thursday at 8 am PT for a live Q&amp;Aâ€¦ https://t.co/IgNKNztfh5
7,2022-11-04 21:23:58+00:00,silvercorp,"RT @joinmastodon: The number of people who switched over to #Mastodon in the last week alone has surpassed 230 thousand, along with many reâ€¦"
8,2022-11-04 21:12:15+00:00,codigofacilito,"RT @Axolodev: Me hice una codymoneda en React ğŸ‘€
@codigofacilito https://t.co/YxKjTZdgim"
9,2022-11-04 21:01:40+00:00,5eniorDeveloper,Este es el motivo del porque no hay muchos memes ğŸ¤£ https://t.co/q2Bbs20Cie
10,2022-11-04 20:53:01+00:00,thecodercoder,"Maybe it's just me, but I can't handle having to write out the whole template thing. It seems quicker to use the grid lines"
11,2022-11-04 20:51:03+00:00,thecodercoder,"Ok, I gotta know. When using CSS grid, do you tend to use use grid-column and grid-row, or grid-template-areas?"
12,2022-11-04 20:15:01+00:00,silvercorp,Han cerrado una de las mayores webs de descarga de libros gratis: Z-Library deja de funcionar y ya hay quien ha cogâ€¦ https://t.co/cCB6oiWk5D
13,2022-11-04 20:07:48+00:00,silvercorp,"RT @nicksallon: To all tweeps affected today, Bloomberg Media is hiring. We have open partnerships roles in my team as well as roles in salâ€¦"
14,2022-11-04 19:59:22+00:00,codigofacilito,"Empieza hoy gratis (10 videos) el Curso de GitHub a fondo  ğŸš€

Con @ManuCastrillonM , GitHub Campus Expert 

https://t.co/35xt4GKn5i"
15,2022-11-04 19:49:23+00:00,platzi,"EmpezÃ³ como estudiante. Hoy @ocandocrypto es Directora de la Escuela de Blockchain y criptomonedas en Platzi. 

Parâ€¦ https://t.co/VR03qNa5Xf"
16,2022-11-04 19:41:38+00:00,charliesbot,20 minutos para los demos del hackathon en YouTube ğŸ‘€
17,2022-11-04 19:38:01+00:00,MongoDB,"""Atlas helped us get the product up and running on a stable, scalable platform from day 1.""

Read how @ChargeHub_EVâ€¦ https://t.co/9Ur4lifkzC"
18,2022-11-04 19:33:30+00:00,silvercorp,"* suena de fondo y a todo volumen *

ğŸ˜¶

https://t.co/OKv2qcotXY"
